QuestionID,Emotional_Intensity,Emotion_Aversion,Harm,Self_Benefit,Other_Benefit,Premeditated,Illegality,Social_Norm_Violation,Socialness,Frequency,Personal_Familiarity,General_Familiarity,Morally_Appropriate
66,5.13,4.53,5.97,2.10,1.57,3.23,5.47,6.47,4.40,3.23,1.53,2.50,1.63
67,3.13,3.03,3.53,4.87,2.33,4.90,4.30,5.03,4.87,5.03,2.70,4.27,2.57
68,3.43,3.47,3.10,3.00,1.80,4.60,1.57,3.13,5.13,6.03,5.47,5.77,4.60
69,3.87,2.00,1.33,4.20,6.33,6.30,1.17,1.50,6.30,5.00,3.47,4.97,6.47
70,4.70,4.40,2.83,3.90,3.37,4.83,2.33,2.80,5.60,4.70,1.90,4.23,4.87
71,3.93,3.57,4.63,4.87,1.50,5.37,4.30,5.30,5.17,4.53,2.00,3.33,2.30
72,4.57,4.97,2.70,2.43,4.77,5.13,4.13,3.77,5.67,4.47,2.60,3.70,4.10
73,3.97,4.07,3.43,4.87,2.27,5.87,1.83,4.43,4.73,4.70,2.70,3.73,3.53
74,4.93,4.33,5.27,2.70,2.30,4.50,5.63,6.07,5.73,3.30,1.37,2.50,1.80
75,4.03,3.93,3.30,4.07,2.00,3.87,2.80,4.60,5.00,4.30,2.10,3.30,3.40
76,4.30,3.53,4.27,5.00,2.30,5.27,2.07,4.33,5.23,4.63,2.33,3.73,3.77
77,4.70,3.87,3.47,3.87,3.50,4.93,1.70,4.30,5.53,4.97,2.23,4.30,3.07
78,4.43,4.67,2.67,3.40,2.70,3.90,6.10,4.80,4.13,5.33,1.97,3.60,2.53
79,5.53,5.47,4.00,5.00,2.27,4.87,1.83,3.80,5.70,3.17,1.63,2.97,4.33
80,3.23,4.17,5.13,3.40,1.77,3.13,2.77,5.17,5.50,4.50,2.90,3.97,2.60
81,2.60,1.83,1.30,3.30,6.43,2.80,1.30,1.37,5.80,3.73,2.90,3.67,6.57
82,4.77,4.47,2.47,3.23,3.57,4.97,2.23,3.37,5.73,4.77,2.20,3.93,5.13
83,3.70,3.90,2.90,5.53,2.17,5.60,4.43,5.27,4.70,4.60,1.63,3.00,2.97
84,3.37,1.77,1.50,3.40,6.33,3.83,1.20,1.27,5.40,3.37,2.77,3.50,6.67
85,4.53,5.10,4.57,3.03,2.77,3.33,2.00,4.00,5.63,4.27,2.43,3.83,5.10
86,4.87,3.87,5.63,4.23,1.63,5.37,2.47,6.20,6.23,4.83,2.47,4.20,1.57
87,3.73,3.80,3.40,4.90,1.77,3.93,1.80,4.70,5.07,4.87,3.50,4.40,3.43
88,2.57,2.40,3.30,5.30,1.37,5.23,4.13,4.23,3.60,4.37,2.87,4.10,3.43
89,5.03,4.10,5.33,4.87,2.10,5.50,1.87,5.33,6.00,5.10,2.70,4.33,2.50
90,2.50,1.67,1.53,3.13,5.90,2.60,1.20,1.30,5.43,4.07,3.47,3.87,6.70
91,4.07,4.50,2.90,4.50,1.63,5.80,3.87,5.33,3.23,4.70,2.80,4.53,2.70
92,2.93,2.93,4.27,5.43,2.27,6.17,5.80,5.43,5.03,3.73,1.57,2.57,2.20
93,5.50,4.80,4.50,4.93,3.60,4.37,1.53,3.87,5.93,4.43,1.97,4.07,5.23
94,6.07,4.20,1.77,2.93,6.30,5.43,1.37,2.40,5.37,3.03,1.87,2.47,5.73
95,5.20,4.87,4.57,3.97,1.93,5.90,3.30,5.60,5.37,4.50,1.90,3.83,2.70
96,3.03,2.77,3.93,5.13,1.53,3.83,5.60,5.30,3.87,4.90,2.73,4.53,2.73
97,5.37,4.70,3.43,4.13,3.17,5.73,1.67,2.87,5.43,5.27,2.57,4.90,5.20
98,2.37,2.43,4.50,3.90,1.53,3.07,3.20,5.47,4.80,4.57,3.43,4.60,3.03
99,3.40,2.07,1.40,2.93,6.03,2.57,1.40,1.53,5.30,3.67,3.40,4.20,6.33
100,3.73,4.47,2.83,2.77,4.40,3.93,3.53,4.07,5.57,4.07,2.40,3.60,3.67
101,4.90,4.57,3.73,3.63,2.63,4.53,1.83,3.63,5.50,4.20,2.23,3.67,3.93
102,5.30,5.10,5.17,4.10,2.60,5.13,2.57,6.07,6.23,4.10,2.03,3.63,2.20
103,4.90,4.70,4.07,3.17,1.93,4.57,1.57,4.07,5.20,4.97,3.50,4.17,4.00
104,5.90,5.37,4.77,2.83,1.90,4.50,1.80,4.67,5.30,4.43,2.40,3.63,3.13
105,5.80,5.27,5.77,3.17,2.03,4.50,1.63,5.67,5.93,4.23,2.57,3.77,2.97
106,3.97,3.60,2.33,4.17,3.33,5.57,2.93,2.87,5.13,2.20,1.50,2.27,5.07
107,6.13,5.23,5.53,4.43,1.93,5.57,2.73,5.33,6.43,3.40,1.27,2.83,2.83
108,4.60,4.90,3.53,3.07,5.03,5.23,2.23,3.80,4.03,3.10,1.77,2.63,3.93
109,3.13,3.00,1.70,2.40,5.90,5.23,1.63,2.03,5.53,5.00,4.07,5.03,6.23
110,2.83,2.80,3.40,5.00,1.90,3.60,4.30,4.90,3.90,3.93,2.13,3.03,3.03
111,3.33,3.13,2.00,3.13,5.13,3.27,1.70,2.07,4.30,4.10,3.13,4.30,6.00
112,3.60,4.07,3.90,4.70,1.83,4.63,2.10,4.67,5.37,5.63,4.07,4.90,3.50
113,6.03,5.87,4.87,2.97,1.87,2.57,1.60,4.67,5.83,4.70,2.80,4.50,2.87
114,2.43,2.30,2.37,5.50,1.83,4.40,4.63,4.07,3.00,4.03,1.77,3.23,3.97
115,4.40,3.53,4.97,4.87,2.17,5.73,2.27,5.67,6.20,4.63,2.47,4.07,2.17
116,3.27,3.07,3.43,5.40,1.87,3.63,4.00,5.53,4.77,5.20,3.17,4.70,2.43
117,4.13,2.17,1.63,4.13,5.67,4.77,1.33,2.17,5.60,3.10,2.60,3.40,6.27
118,5.57,4.90,2.20,2.90,5.80,4.57,1.87,2.87,5.80,2.87,1.43,2.67,4.87
119,4.70,4.47,4.30,2.70,1.57,5.33,6.03,6.07,4.30,4.33,1.30,3.20,1.63
120,6.20,5.60,4.07,1.93,1.73,3.10,1.70,4.90,5.73,3.27,1.77,3.20,3.10
121,4.30,3.43,5.20,5.30,1.50,4.00,5.37,5.70,5.60,4.33,2.10,4.03,1.97
122,3.53,3.20,3.67,5.07,3.37,5.53,2.87,5.13,5.50,5.23,2.90,4.97,2.77
123,3.03,1.97,1.77,5.00,1.50,5.37,1.53,3.30,3.40,5.80,4.20,5.47,4.53
124,4.30,4.37,3.80,4.27,1.90,5.57,1.47,4.13,5.43,5.43,4.03,5.00,3.87
125,3.97,3.20,5.07,5.77,1.63,4.33,5.97,6.17,5.07,3.47,1.47,3.03,1.63
126,4.53,4.40,2.10,3.13,3.53,5.27,1.83,3.17,4.83,4.43,2.20,3.67,4.97
127,3.93,3.73,5.93,5.43,2.23,5.90,5.93,6.27,6.33,4.57,2.13,3.93,1.73
128,2.37,2.03,2.73,5.50,1.40,4.50,4.93,4.50,3.07,5.40,3.77,5.03,2.93
129,3.13,3.13,2.93,3.93,1.73,4.63,4.20,5.00,4.40,3.20,1.70,3.20,2.83
130,4.97,4.60,3.03,4.37,4.43,4.90,2.17,3.70,5.47,3.83,2.03,3.20,4.87
131,3.63,3.70,4.30,3.90,1.73,4.17,3.47,4.77,5.30,4.30,2.23,3.30,2.67
132,3.10,2.77,1.60,3.27,4.37,2.83,1.37,1.97,3.90,3.27,2.43,3.50,6.43
133,4.20,2.87,3.63,4.27,3.27,4.43,1.80,4.67,5.53,5.40,4.00,5.10,3.43
134,2.77,2.83,3.63,4.73,1.80,2.90,2.93,4.83,4.60,3.63,2.23,3.07,3.20
135,4.03,3.13,4.27,4.93,2.57,4.90,2.00,5.70,5.23,3.60,1.63,2.77,2.33
136,2.50,2.97,3.53,3.27,2.07,3.20,2.50,4.37,5.17,5.70,4.97,5.33,3.63
137,3.50,3.80,2.67,4.27,2.30,5.80,3.37,4.43,4.47,3.27,1.77,2.97,3.50
138,4.83,4.10,2.70,3.83,3.33,4.37,1.53,3.13,5.27,4.43,2.73,3.93,4.97
139,5.37,3.87,5.43,4.80,3.00,3.13,2.63,6.13,6.00,3.87,1.80,3.37,1.73
140,3.20,3.17,4.77,5.10,2.93,5.80,6.33,5.97,5.57,4.67,2.07,3.93,2.00
141,4.57,5.37,3.20,2.80,1.57,5.17,5.00,5.67,3.47,4.07,2.13,3.67,2.20
142,4.87,4.57,3.67,3.07,1.83,4.27,1.63,4.33,5.30,3.83,1.73,3.13,3.47
143,2.77,2.50,4.33,5.17,1.53,2.73,3.97,5.10,4.77,4.47,2.83,4.03,2.70
144,5.37,4.90,4.03,5.73,3.40,5.63,5.57,5.20,4.73,4.80,1.53,3.57,3.20
145,4.50,2.33,1.37,3.33,6.30,3.40,1.27,1.57,5.63,3.00,2.60,3.67,6.23
146,5.27,5.30,4.87,3.97,2.37,5.20,1.37,2.83,5.60,5.03,2.90,4.30,5.10
147,4.37,3.27,5.40,4.80,2.17,5.97,2.10,5.70,6.33,5.27,2.90,4.90,2.37
148,4.47,3.60,5.10,4.83,1.73,5.40,4.70,5.57,5.43,2.97,1.60,3.00,1.87
149,2.30,2.30,2.67,5.57,3.20,3.67,4.90,4.70,4.23,5.07,3.50,5.23,3.03
150,6.13,5.43,6.00,2.47,1.83,3.30,4.23,5.67,5.80,4.73,3.17,4.37,2.37
151,3.13,3.23,2.17,4.57,1.67,4.60,1.77,4.17,4.07,4.93,2.40,3.87,3.60
152,4.13,4.80,3.80,3.03,1.63,4.13,5.73,5.70,4.83,4.23,2.10,3.67,2.23
153,4.97,5.03,4.67,2.57,2.00,4.33,2.07,5.63,5.80,4.73,3.03,4.57,2.33
154,4.30,2.27,1.70,3.20,6.23,3.87,1.77,1.70,5.67,3.33,1.87,2.53,6.40
155,3.80,2.70,3.90,4.10,3.30,4.60,2.17,5.50,5.40,3.17,1.57,3.07,2.40
156,3.70,4.30,4.33,2.67,2.10,4.70,3.00,4.47,5.37,3.93,2.67,3.77,2.90
157,5.73,5.10,3.80,2.60,4.03,5.50,1.80,3.53,5.53,4.10,1.93,3.37,4.57
158,6.13,5.40,5.03,4.10,2.67,5.63,2.60,4.20,5.33,5.00,1.67,4.53,4.20
159,5.60,5.23,5.73,3.80,1.73,4.33,2.27,5.83,6.23,4.70,1.60,4.33,1.77
160,5.77,5.80,3.20,3.90,4.33,5.10,1.60,2.50,4.33,3.70,1.57,2.90,5.63
161,5.23,4.87,4.20,3.43,1.80,5.13,4.07,5.63,5.70,3.33,1.30,2.67,2.57
162,2.93,2.93,2.30,4.73,3.23,5.10,3.07,4.33,4.70,4.13,2.80,3.80,3.53
163,4.23,4.33,3.87,5.03,2.53,5.40,1.63,4.93,5.53,4.40,2.73,3.93,3.77
164,6.50,4.77,1.93,4.90,5.47,5.60,1.43,1.93,5.90,3.60,1.57,2.97,6.07
165,4.40,1.60,1.67,4.23,6.07,5.90,1.83,1.97,6.07,3.57,2.07,2.40,5.77
166,4.10,4.17,3.93,3.33,4.57,4.93,5.33,5.10,5.27,3.20,1.37,2.47,2.73
167,4.77,4.77,4.50,2.33,1.83,2.27,1.43,4.47,5.53,5.40,4.80,5.50,3.47
168,4.00,3.23,4.50,4.63,2.97,3.93,1.97,5.37,5.87,4.37,2.50,4.17,2.57
169,5.37,4.63,4.60,3.57,4.53,5.40,1.73,2.90,6.00,2.80,1.87,2.90,5.37
170,4.27,4.60,5.43,1.83,1.53,3.00,2.13,4.33,5.70,4.07,2.90,3.73,3.17
171,1.77,1.83,2.10,4.63,1.53,4.30,3.97,3.20,2.43,5.90,5.00,5.50,4.27
172,4.87,4.73,2.40,4.27,1.53,5.60,1.90,4.03,4.27,4.17,1.97,3.17,3.90
173,5.83,4.27,5.73,4.83,3.63,4.07,3.53,6.27,6.40,4.43,1.97,4.17,2.17
174,4.17,4.30,4.77,4.53,1.50,5.93,6.37,5.97,4.13,4.50,1.90,3.63,1.80
175,5.13,5.07,6.07,3.87,3.03,5.47,2.13,4.07,6.27,3.90,1.37,3.37,3.33
176,3.30,3.50,2.70,4.93,2.60,5.40,2.57,4.13,5.30,5.13,2.47,4.73,3.60
177,6.27,5.80,4.90,2.20,2.27,3.43,1.73,4.00,6.03,4.03,1.93,3.37,4.23
178,4.83,4.80,4.83,4.03,2.07,4.37,4.80,5.33,5.57,3.70,2.33,3.37,2.73
179,4.77,4.97,4.53,3.17,3.57,4.77,2.60,4.53,5.23,3.97,2.20,3.30,3.03
180,3.93,3.63,2.23,3.27,6.17,5.40,3.03,3.57,6.13,2.63,1.53,2.47,4.87
181,3.20,2.53,1.57,3.03,5.97,3.83,1.37,1.73,5.27,3.70,3.17,4.20,6.63
182,2.53,2.20,1.47,3.03,5.27,2.70,1.43,1.53,3.97,2.57,1.80,2.50,6.50
183,3.50,3.07,1.77,2.73,5.60,4.57,1.50,2.03,5.73,4.07,3.03,3.87,6.13
184,5.33,4.93,3.47,2.80,3.73,4.77,1.50,3.73,5.93,4.00,2.50,3.93,4.97
185,3.47,3.60,2.33,2.77,3.00,4.83,2.27,2.87,4.23,3.47,1.97,2.80,4.90
186,3.80,3.33,4.43,5.30,4.67,4.17,4.80,5.77,5.93,4.23,1.87,3.73,1.83
187,4.40,2.90,3.47,4.53,3.20,4.33,2.60,4.77,5.57,4.10,1.67,3.20,3.03
188,4.20,4.20,4.00,4.07,1.80,3.77,5.50,5.43,4.03,4.17,2.27,3.67,2.63
189,3.63,2.97,5.53,2.53,1.60,2.77,2.57,5.10,5.60,4.57,3.30,3.93,2.43
190,6.07,5.97,5.20,4.30,3.10,4.53,2.67,4.80,5.87,4.50,1.43,4.17,3.53
191,4.30,4.40,1.90,3.13,3.80,4.20,1.57,2.40,5.20,3.87,2.77,3.43,5.53
192,4.57,4.73,3.87,5.50,2.73,5.67,5.63,5.43,5.33,4.67,1.67,3.70,2.77
193,3.23,2.77,3.63,5.13,5.03,5.57,4.00,5.30,5.80,4.77,3.23,4.40,2.93
194,4.20,2.73,3.13,3.83,2.70,3.50,2.20,4.83,5.40,5.30,3.20,4.60,3.23
195,5.17,2.80,1.47,3.50,5.83,5.17,1.73,2.33,5.60,2.80,1.73,2.60,5.67
196,5.37,2.70,1.47,3.60,6.27,5.40,1.23,1.60,5.97,3.90,2.67,3.87,6.50
197,6.17,5.30,2.73,4.40,4.20,5.53,1.67,2.67,5.70,4.43,1.73,3.80,5.40
198,3.87,3.83,4.63,4.07,5.33,6.27,6.73,5.63,5.93,3.80,1.57,3.30,1.73
199,3.97,2.63,1.40,3.00,6.03,5.40,1.40,1.63,5.70,4.47,3.07,4.03,6.30
200,5.03,5.57,2.30,1.83,5.60,4.30,2.23,5.30,5.90,4.67,3.80,4.63,2.50
201,3.63,4.03,3.17,3.77,2.17,2.33,2.00,4.07,5.27,4.67,3.13,3.97,3.90
202,4.67,5.33,5.10,2.47,1.60,3.97,5.67,5.53,5.67,3.70,1.87,3.27,1.90
203,5.53,4.73,5.73,3.83,1.70,4.67,1.73,6.07,6.23,2.27,1.40,2.17,1.90
204,3.43,2.87,3.77,5.07,1.50,4.93,4.83,5.17,4.17,3.63,1.50,2.70,2.53
205,2.73,3.00,2.63,4.60,1.83,5.40,1.90,4.27,5.27,5.30,4.70,5.43,4.10
206,5.50,5.67,5.63,3.23,1.97,4.07,2.47,6.23,6.27,4.40,2.17,4.37,1.77
207,4.70,3.90,4.63,4.80,2.30,5.07,1.73,5.47,5.87,4.70,2.50,4.17,2.53
208,4.97,5.13,5.70,4.03,1.57,3.03,5.93,5.97,6.10,3.20,1.70,3.00,1.70
209,5.03,4.50,2.87,5.13,5.00,5.73,1.80,2.77,5.73,4.40,2.30,3.43,5.50
210,3.17,3.57,4.27,2.17,4.23,4.77,2.37,4.60,5.40,4.17,2.53,3.30,2.93
211,2.93,2.77,3.13,5.53,2.13,5.97,6.03,4.97,4.83,4.33,2.07,4.23,2.23
212,4.57,4.03,4.57,4.37,2.97,5.20,1.93,5.23,5.70,4.47,2.33,3.33,3.07
213,5.93,5.33,5.77,3.20,1.70,4.17,2.10,6.17,6.03,3.30,1.90,3.57,2.03
214,4.70,2.70,1.67,3.30,6.17,5.47,1.23,1.63,5.97,2.83,1.87,2.93,6.17
215,4.90,4.60,3.60,4.63,2.60,5.60,1.80,4.27,5.63,4.17,1.60,2.97,3.87
216,4.63,4.40,2.80,5.13,2.37,3.70,5.27,4.20,3.70,4.00,1.97,3.60,3.20
217,2.60,2.77,3.90,4.47,1.53,4.20,5.00,5.13,3.67,4.33,2.70,3.90,2.53
218,5.33,4.50,5.23,3.73,1.83,5.07,2.83,5.43,5.90,4.00,1.63,3.13,2.50
219,4.27,2.93,3.73,4.43,1.33,4.17,5.90,5.53,3.50,4.43,2.43,3.87,1.90
220,5.80,4.57,3.20,4.80,4.17,5.97,1.90,2.80,6.03,4.30,1.47,3.60,5.27
221,4.10,3.97,1.83,3.70,4.97,5.23,1.53,1.73,3.87,2.60,1.83,2.83,6.43
222,3.87,3.20,4.80,5.30,2.00,6.20,3.17,5.77,5.73,5.77,2.27,4.13,2.20
223,4.27,3.50,2.07,3.40,2.67,4.47,1.60,2.37,5.00,4.70,2.57,4.07,5.53
224,4.93,4.83,3.30,3.37,2.77,4.87,1.77,3.47,5.03,5.03,3.57,4.63,4.47
225,4.17,3.33,2.83,3.80,2.17,3.63,4.00,5.03,5.23,4.53,1.67,3.57,3.17
226,3.00,2.20,1.30,3.23,6.40,3.10,1.37,1.47,5.47,3.53,2.83,3.77,6.50
227,4.37,4.33,2.90,4.90,2.40,5.67,2.07,4.33,5.23,3.03,1.33,2.73,3.67
228,5.83,4.97,5.60,3.57,2.27,4.80,2.27,6.10,6.13,4.30,2.13,4.17,1.73
229,3.43,2.47,1.53,3.03,6.23,3.20,1.60,1.53,4.87,2.50,1.73,2.70,6.63
230,5.40,4.63,4.83,4.17,1.97,4.80,1.63,5.23,5.87,3.37,1.83,3.10,2.73
231,5.27,4.50,3.30,3.57,5.37,2.83,1.67,1.70,5.57,3.60,2.17,3.40,6.23
232,2.83,1.80,1.57,3.23,6.23,4.03,1.23,1.53,5.10,2.97,2.13,3.17,6.70
233,4.40,2.87,3.13,4.97,4.10,3.57,2.03,4.73,6.50,3.90,1.97,4.07,3.40
234,5.37,4.90,3.83,4.17,2.83,5.80,1.73,4.50,6.07,4.67,1.70,3.73,3.50
235,3.23,3.43,2.73,4.87,1.63,2.60,3.77,5.17,3.87,4.93,3.37,5.00,2.40
236,2.27,2.00,1.33,3.43,6.27,5.10,1.20,1.27,5.70,4.63,4.37,5.07,6.50
237,4.63,4.33,3.30,4.33,3.90,5.23,1.63,2.70,5.70,4.27,3.33,3.97,5.83
238,4.37,3.63,4.87,5.33,2.40,5.70,2.07,5.30,6.40,4.40,2.50,4.13,2.83
239,4.70,3.70,2.93,5.83,1.77,6.50,2.30,3.67,4.63,4.30,1.60,3.00,4.53
240,5.13,5.00,3.10,3.30,4.63,3.23,1.73,3.27,5.63,3.87,2.27,3.30,4.63
241,5.77,4.87,4.30,3.90,4.97,3.47,2.70,3.57,5.90,3.80,2.17,3.37,4.93
242,3.77,4.17,3.97,5.67,1.57,5.17,5.97,5.60,3.83,3.57,1.47,2.40,1.90
243,3.03,2.50,2.40,4.70,3.60,5.00,1.70,4.10,4.87,3.63,2.00,3.23,3.93
244,3.43,3.10,3.53,5.53,4.63,6.20,4.57,5.50,5.53,4.87,2.53,4.30,2.37
245,5.07,4.57,2.53,3.77,3.60,5.50,3.23,3.90,4.00,2.30,1.23,2.00,4.30
246,5.97,4.70,1.87,3.43,6.13,4.17,1.23,1.47,6.00,3.80,2.43,3.37,6.60
247,5.00,5.33,4.07,3.90,1.83,3.33,5.07,5.63,5.37,3.63,1.40,2.80,2.20
248,3.57,4.07,2.13,3.53,2.97,5.13,2.30,3.10,3.40,4.27,2.17,3.80,5.37
249,6.20,3.40,1.60,4.60,6.37,6.53,1.37,1.67,6.57,4.07,1.77,3.77,6.70
250,4.10,3.63,1.33,3.50,6.00,3.60,1.30,1.50,5.77,4.00,2.60,3.63,6.77
251,4.67,4.27,3.60,4.07,2.67,4.07,1.83,4.40,5.60,5.33,3.27,4.87,3.70
252,3.53,3.63,3.73,3.80,1.60,5.10,5.03,4.80,4.10,3.77,2.07,2.93,2.73
253,5.47,4.10,4.80,4.03,3.00,3.13,2.13,5.60,5.70,4.67,2.03,4.20,2.43
254,5.70,4.73,5.13,4.13,2.00,4.10,2.20,5.73,6.23,4.53,2.13,4.47,2.13
255,5.00,4.97,3.93,4.40,2.23,6.13,1.50,4.90,5.97,4.83,3.27,4.50,3.67
